,форм-фактор,мощность,стандарт эффективности,pfc,тип товара в одно слово,тип товара в 2 слова,Наименование,Параметры_изначальные,тип,длина кабеля,особенности,максимальная нагрузка,выходная мощность,выходных разъемов,разъемов с питанием от батареи,интерфейсы,аритикул маркета,модель/исполнение,номин. напряжение,емкость батареи,источник света,тип цоколя,тип питания,Тип товара в одно слово,Тип товара в 2 слова,артикул маркета,тип товара в два слова,назначение,модель совместимого устройства,тип аккумулятора,цвет товара,выход. напряжение (мин),корпус,артикула маркета
0,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ'],['500ВТ ATX12V V2.4 ВЕНТИЛЯТОР=120Х120 86Х150Х140 ЧЕРНЫЙ'],,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,фильтр,сетевой фильтр,['ФИЛЬТР СЕТЕВОЙ'],['220В 5М 5РОЗЕТОК С ЗАЗЕМЛЕНИЕМ'],фильтр,5м,с заземлением,,,,,,,,,,,,,,,,,,,,,,,
2,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА 480ВТ, 2ХSCHUKO CEE 7, 100Х290Х140 5,5КГ ЧЕРНЫЙ']",,,,,480,2,,,,,,,,,,,,,,,,,,,,
3,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['850ВА 425ВТ 1/5-290/220/230/240В 4ХIEC-320-C13 280Х84Х174 4,2КГ ЧЕРНЫЙ']",,,,,425вт,4,,,,,,,,,,,,,,,,,,,,
4,,,,,источник,бесперебойное питание,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['100А, 4800ВТ, 267Х483Х314, 22КГ, ИСПОЛНЕНИЕ - 19 КАРКАС-КРЕЙТ']",,,,,4800вт,,,,,,,,,,,,,,,,,,,,,
5,atx,400,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['400ВТ ATX DВЕНТИЛЯТОРА=120 1PCI-E(6-PIN) 2SATA 2MOLEX 1FDD 233Х197Х975'],,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,источник,источник питания,['ИСТОЧНИК ПИТАНИЯ БЕСПЕРЕБОЙНЫЙ'],['СТОЙКА/НАПОЛЬНЫЙ/1000ВА/900ВТ/USB/RS-232/SNMP SLOT/EPO (8 IEC C13) (12В/9АЧ. X 2)2U'],,,,,900,8,2,"usb, rs-232, snmp slot, epo",,,,,,,,,,,,,,,,,,
7,,,,,модуль,батарейный модуль,['МОДУЛЬ БАТАРЕЙНЫЙ БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['1КВА 24В 18A/ЧАС 2U 335Х440Х89 ЧЕРНЫЙ'],,,,,,,,,ges022b109535,rt-series,24в,18a/час,,,,,,,,,,,,,,
8,atx,500,,,блок,блок питания,['БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА'],['500ВТ PFC ATX 12V 2.3 150Х86Х140'],,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],"['1500ВА 900ВТ 49,5-60,5ГЦ 12В/9АЧАС 320Х125Х225 12,6КГ']",,,,,900,,,usb,,,,,,,,,,,,,,,,,,
10,,,,,источник,источник бесперебойного,['ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ'],['850ВА 480ВТ 2ХCEE 7 12V/9AH 40ДБ 298Х101Х142 ЧЕРНЫЙ'],,,,,480,2,,,,,,,,,,,,,,,,,,,,
