,код СКМТР,Наименование,Маркировка,Регламенты (ГОСТ/ТУ),Параметры,Базисная Единица измерения,ОКПД2,is_tu,ОКПД2_сокр,Параметры парс
248,4025240324,БЛОК ПИТАНИЯ,DEEPCOOL PF500,,500ВТ ATX12V V2.4 ВЕНТИЛЯТОР=120Х120 86Х150Х140 ЧЕРНЫЙ,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
963,4025201299,ФИЛЬТР СЕТЕВОЙ,TDM У05В,,220В 5М 5РОЗЕТОК С ЗАЗЕМЛЕНИЕМ,796,26.20.40.110,0,26,|тип|длина кабеля|особенности|максимальная нагрузка
1177,4025201304,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,IPPON BACK POWER PRO II EURO 850,,"850ВА 480ВТ, 2ХSCHUKO CEE 7, 100Х290Х140 5,5КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
1228,4025240291,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UT850EIG,,"850ВА 425ВТ 1/5-290/220/230/240В 4ХIEC-320-C13 280Х84Х174 4,2КГ ЧЕРНЫЙ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
1757,4025100389,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,ЦРСС ОКС-3 48-4800-К-4,ЦТРС.469417.001 ТУ,"100А, 4800ВТ, 267Х483Х314, 22КГ, ИСПОЛНЕНИЕ - 19 КАРКАС-КРЕЙТ",796,26.20.40.110,1,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
2496,4025201306,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,AEROCOOL 400W RETAIL VX PLUS 400,,400ВТ ATX DВЕНТИЛЯТОРА=120 1PCI-E(6-PIN) 2SATA 2MOLEX 1FDD 233Х197Х975,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
2929,4025201305,ИСТОЧНИК ПИТАНИЯ БЕСПЕРЕБОЙНЫЙ,САЙБЕР ЭЛЕКТРО ЭКСПЕРТ-1000Р ОНЛАЙН,,СТОЙКА/НАПОЛЬНЫЙ/1000ВА/900ВТ/USB/RS-232/SNMP SLOT/EPO (8 IEC C13) (12В/9АЧ. X 2)2U,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
3098,4025240292,МОДУЛЬ БАТАРЕЙНЫЙ БЕСПЕРЕБОЙНОГО ПИТАНИЯ,DELTA RT-SERIES GES022B109535,,1КВА 24В 18A/ЧАС 2U 335Х440Х89 ЧЕРНЫЙ,796,26.20.40.110,0,26,аритикул маркета|модель/исполнение|номин. напряжение|емкость батареи|особенности
3282,4025240293,БЛОК ПИТАНИЯ СИСТЕМНОГО БЛОКА,EXEGATE 500PPE EX260641RUS,,500ВТ PFC ATX 12V 2.3 150Х86Х140,796,26.20.40.110,0,26,|форм-фактор|мощность|стандарт эффективности|pfc
3764,4025240321,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CROWN CMU-SP1500 EURO USB,,"1500ВА 900ВТ 49,5-60,5ГЦ 12В/9АЧАС 320Х125Х225 12,6КГ",796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
5201,4025240322,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,POWERMAN BACK PRO 850,,850ВА 480ВТ 2ХCEE 7 12V/9AH 40ДБ 298Х101Х142 ЧЕРНЫЙ,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
5210,4025240323,ИСТОЧНИК БЕСПЕРЕБОЙНОГО ПИТАНИЯ,CYBERPOWER UT2200EIG,,LINE-INTERACTIVE 2200ВА/1320ВТ USB/RJ11/45/USB CHARGER A/C 125ДЖ 50ДБ 148Х178Х298,796,26.20.40.110,0,26,|выходная мощность|выходных разъемов|разъемов с питанием от батареи|интерфейсы
